,Previous_Gpa,Stress_Level,Mental_Health_Rating,Dropout_Risk,Exam_Score,Results
71,3.65,1.0,8.7,No,85,Pass
72,4.0,8.9,8.1,No,99,Pass
73,4.0,4.9,5.8,No,100,Pass
74,4.0,4.5,3.5,No,100,Pass
75,3.86,7.9,5.6,No,98,Pass
76,3.17,4.1,6.3,No,77,Pass
77,4.0,6.8,7.1,No,100,Pass
78,4.0,4.0,8.8,No,100,Pass
79,2.76,4.1,3.9,No,70,Pass
80,4.0,5.8,8.7,No,96,Pass
81,4.0,3.6,6.9,No,100,Pass
82,2.47,1.8,7.5,No,53,Pass
83,3.82,2.6,5.0,No,96,Pass
84,4.0,7.5,5.2,No,100,Pass
85,4.0,4.1,6.3,No,100,Pass
86,4.0,4.3,2.9,No,100,Pass
87,4.0,6.6,7.0,No,94,Pass
88,2.92,6.3,6.0,No,75,Pass
89,4.0,5.3,7.1,No,100,Pass
90,3.58,7.1,2.8,No,94,Pass
91,3.46,4.7,6.4,No,83,Pass
92,4.0,1.5,8.8,No,97,Pass
93,4.0,4.9,8.4,No,96,Pass
94,2.65,6.7,8.7,No,73,Pass
95,3.15,3.0,7.6,No,84,Pass
96,4.0,4.5,10.0,No,97,Pass
97,2.85,6.1,3.9,No,72,Pass
98,3.69,3.7,3.5,No,88,Pass
99,3.66,3.2,6.1,No,92,Pass
100,4.0,4.5,7.0,No,100,Pass
101,3.73,3.1,6.0,No,92,Pass
102,3.39,2.9,5.7,No,92,Pass
103,2.65,5.1,5.4,No,71,Pass
104,4.0,6.3,6.0,No,100,Pass
105,3.04,3.2,7.5,No,76,Pass
106,3.8,5.7,10.0,No,89,Pass
107,4.0,3.1,9.0,No,100,Pass
108,3.39,4.5,10.0,No,80,Pass
109,3.68,6.2,3.6,No,94,Pass
110,4.0,2.3,6.1,No,95,Pass
111,4.0,1.0,5.8,No,93,Pass
112,4.0,5.0,8.4,No,100,Pass
113,4.0,1.0,2.8,No,100,Pass
114,2.43,4.9,9.0,No,69,Pass
115,2.89,5.4,6.5,No,65,Pass
116,3.79,6.8,7.0,No,89,Pass
117,4.0,4.8,8.3,No,100,Pass
118,3.57,10.0,10.0,Yes,93,Pass
119,3.58,1.8,10.0,No,90,Pass
120,2.31,5.5,9.3,No,63,Pass
121,3.85,5.5,6.2,No,92,Pass
122,3.45,3.6,7.0,No,86,Pass
123,4.0,2.0,9.4,No,100,Pass
124,4.0,4.3,10.0,No,98,Pass
125,3.8,6.5,8.0,No,97,Pass
126,2.92,10.0,6.1,No,74,Pass
127,4.0,3.9,5.2,No,97,Pass
128,3.33,3.8,2.1,No,80,Pass
129,4.0,1.0,4.8,No,99,Pass
130,3.73,5.9,8.0,No,93,Pass
131,3.58,5.5,6.3,No,94,Pass
132,3.36,5.9,6.8,No,87,Pass
133,3.33,3.0,6.1,No,75,Pass
134,2.71,5.1,3.4,No,58,Pass
135,3.09,5.1,6.0,No,84,Pass
136,4.0,5.7,6.7,No,99,Pass
137,2.87,1.9,4.5,No,68,Pass
138,4.0,5.6,10.0,No,100,Pass
139,4.0,5.2,6.7,No,100,Pass
140,4.0,2.7,6.0,No,98,Pass
141,1.99,4.4,4.9,No,50,Pass
142,2.75,7.3,2.4,No,72,Pass
143,3.5,2.3,6.8,No,93,Pass
144,4.0,6.3,3.8,No,100,Pass
145,3.7,5.9,8.5,No,87,Pass
146,3.9,5.5,4.5,No,87,Pass
147,4.0,4.6,2.4,No,98,Pass
148,3.57,2.6,10.0,No,84,Pass
149,4.0,2.7,6.4,No,100,Pass
150,4.0,3.9,6.1,No,100,Pass
151,4.0,2.3,8.7,No,100,Pass
152,3.11,3.7,6.6,No,73,Pass
153,4.0,3.0,8.5,No,100,Pass
154,3.15,1.0,6.0,No,94,Pass
155,3.15,5.6,7.2,No,84,Pass
156,4.0,5.6,10.0,No,100,Pass
157,2.63,8.2,4.9,Yes,60,Pass
158,4.0,1.0,7.1,No,100,Pass
159,4.0,2.9,8.3,No,96,Pass
160,4.0,10.0,1.1,No,100,Pass
161,3.25,7.3,7.4,No,79,Pass
162,4.0,3.4,6.1,No,97,Pass
163,4.0,3.8,6.3,No,97,Pass
164,4.0,6.2,9.0,No,96,Pass
165,3.96,7.1,10.0,No,100,Pass
166,4.0,6.6,5.5,No,100,Pass
167,3.12,4.0,6.8,No,82,Pass
168,4.0,5.0,6.1,No,100,Pass
169,2.62,5.2,6.3,No,68,Pass
170,4.0,3.4,7.3,No,91,Pass
171,3.9,4.6,7.1,No,92,Pass
172,4.0,7.0,7.6,No,93,Pass
173,4.0,6.3,7.7,No,100,Pass
174,4.0,4.8,10.0,No,96,Pass
175,4.0,3.8,7.7,No,96,Pass
176,2.63,4.9,3.0,No,58,Pass
177,3.93,4.2,9.2,No,93,Pass
178,4.0,3.4,10.0,No,97,Pass
179,3.11,8.6,3.3,No,76,Pass
180,3.23,1.0,6.5,No,76,Pass
181,3.51,3.9,5.5,No,81,Pass
182,3.98,6.0,4.3,No,100,Pass
183,2.66,6.9,8.1,No,61,Pass
184,3.05,1.8,7.4,No,65,Pass
185,4.0,2.6,9.5,No,100,Pass
186,2.65,2.8,6.2,No,72,Pass
187,4.0,6.7,8.3,No,96,Pass
188,4.0,4.2,4.5,No,100,Pass
189,4.0,3.3,7.9,No,100,Pass
190,3.78,4.9,7.5,No,100,Pass
191,3.71,6.4,4.9,No,88,Pass
192,4.0,3.6,4.3,No,96,Pass
193,2.83,7.6,7.199999999999999,No,73,Pass
194,4.0,1.4,8.0,No,100,Pass
195,3.51,2.5,5.9,No,90,Pass
196,3.85,7.9,7.800000000000001,No,93,Pass
197,3.25,4.1,9.2,No,79,Pass
198,4.0,7.9,1.0,No,90,Pass
199,2.99,8.2,3.5,No,83,Pass
200,2.76,1.0,4.1,No,65,Pass
201,4.0,5.5,9.3,No,100,Pass
202,4.0,2.6,6.8,No,100,Pass
203,4.0,1.0,4.3,No,100,Pass
204,4.0,3.8,10.0,No,98,Pass
205,3.36,1.0,5.5,No,75,Pass
206,3.92,5.2,6.4,No,97,Pass
207,4.0,8.0,5.5,No,100,Pass
208,4.0,2.6,10.0,No,98,Pass
209,3.92,8.1,3.3,No,92,Pass
210,3.51,3.4,4.3,No,82,Pass
211,3.58,4.8,7.3,No,88,Pass
212,3.4,5.5,8.2,No,82,Pass
213,3.44,2.6,8.8,No,85,Pass
214,4.0,2.1,8.2,No,100,Pass
215,4.0,3.2,6.8,No,98,Pass
216,4.0,3.3,5.3,No,100,Pass
217,2.63,5.7,8.9,No,63,Pass
218,3.9,5.7,7.5,No,91,Pass
219,4.0,4.8,8.0,No,100,Pass
220,3.38,8.8,6.9,No,91,Pass
221,4.0,2.3,7.9,No,100,Pass
222,3.39,3.8,8.4,No,88,Pass
223,3.79,10.0,7.800000000000001,No,90,Pass
224,4.0,3.0,6.9,No,89,Pass
225,3.66,3.0,9.1,No,93,Pass
226,3.5,7.1,7.199999999999999,No,92,Pass
227,3.93,1.0,6.2,No,90,Pass
228,3.31,8.8,6.0,No,79,Pass
229,3.37,6.0,10.0,No,79,Pass
230,4.0,5.5,8.0,No,100,Pass
231,4.0,6.9,4.9,No,100,Pass
232,3.54,2.5,4.1,No,91,Pass
233,4.0,1.8,8.9,No,99,Pass
234,3.35,2.5,5.4,No,81,Pass
235,4.0,5.0,8.2,No,96,Pass
236,4.0,3.8,6.8,No,97,Pass
237,4.0,4.7,6.3,No,100,Pass
238,3.45,3.9,8.0,No,92,Pass
239,4.0,8.7,6.3,Yes,100,Pass
240,3.45,8.3,7.5,Yes,83,Pass
241,4.0,6.5,6.5,No,99,Pass
242,3.35,5.0,10.0,No,80,Pass
243,3.47,3.0,8.9,No,93,Pass
244,4.0,6.1,9.1,No,100,Pass
245,4.0,2.7,2.3,No,93,Pass
246,3.89,2.5,6.6,No,96,Pass
247,3.57,9.9,8.6,No,94,Pass
248,3.37,5.9,9.0,No,80,Pass
249,4.0,3.3,6.9,No,95,Pass
250,4.0,5.3,8.8,No,95,Pass
251,3.33,1.0,7.4,No,70,Pass
252,3.65,3.8,5.6,No,97,Pass
253,3.92,2.4,5.2,No,100,Pass
254,3.6,4.7,10.0,No,81,Pass
255,3.11,6.2,8.4,No,71,Pass
256,2.8,6.5,9.5,No,74,Pass
257,4.0,5.1,3.9,No,95,Pass
258,3.92,6.2,9.3,No,91,Pass
259,4.0,4.7,3.5,No,95,Pass
260,3.65,6.3,4.8,No,91,Pass
261,4.0,5.0,8.6,No,100,Pass
262,3.19,8.6,6.3,Yes,79,Pass
263,3.03,5.7,8.7,No,82,Pass
264,3.71,3.1,3.6,No,93,Pass
265,3.48,3.0,6.0,No,85,Pass
266,4.0,6.9,4.8,No,95,Pass
267,4.0,5.7,10.0,No,100,Pass
268,4.0,4.4,6.6,No,98,Pass
269,4.0,4.1,3.8,No,100,Pass
270,4.0,3.8,9.6,No,100,Pass
271,4.0,2.4,6.4,No,93,Pass
272,3.36,3.5,3.1,No,74,Pass
273,2.8,3.8,7.0,No,74,Pass
274,4.0,7.4,6.5,No,100,Pass
275,4.0,6.4,8.1,No,98,Pass
276,3.33,4.8,6.8,No,76,Pass
277,3.85,9.3,7.5,No,95,Pass
278,3.18,3.5,9.5,No,82,Pass
279,3.3,7.0,7.5,No,83,Pass
280,4.0,6.7,6.4,No,100,Pass
281,3.63,1.4,2.0,No,86,Pass
282,3.92,4.0,7.0,No,99,Pass
283,3.81,5.5,10.0,No,100,Pass
284,3.83,5.1,4.1,No,92,Pass
285,3.63,3.5,4.1,No,82,Pass
286,4.0,5.2,6.6,No,100,Pass
287,3.07,8.7,4.3,No,71,Pass
288,4.0,3.4,9.4,No,98,Pass
289,3.42,2.9,5.2,No,84,Pass
290,3.68,5.0,5.9,No,93,Pass
291,4.0,8.2,5.4,Yes,100,Pass
292,3.64,5.0,2.7,No,87,Pass
293,2.96,3.6,7.9,No,77,Pass
294,3.52,5.4,4.3,No,90,Pass
295,3.33,1.0,6.6,No,82,Pass
296,3.55,3.6,6.0,No,87,Pass
297,3.67,5.0,5.6,No,97,Pass
298,3.83,5.2,8.5,No,98,Pass
299,3.69,3.7,5.6,No,92,Pass
300,4.0,7.6,8.9,No,93,Pass
301,4.0,3.1,8.3,No,100,Pass
302,3.44,4.9,7.4,No,87,Pass
303,4.0,4.1,8.4,No,100,Pass
304,3.23,3.2,7.4,No,76,Pass
305,3.96,5.7,8.9,No,91,Pass
306,4.0,1.6,7.4,No,93,Pass
307,3.89,7.1,6.0,No,98,Pass
308,4.0,4.0,3.4,No,93,Pass
309,4.0,6.8,7.6,No,98,Pass
310,4.0,5.5,4.0,No,93,Pass
311,4.0,2.6,4.1,No,95,Pass
312,4.0,4.9,7.5,No,100,Pass
313,3.15,5.5,5.2,No,74,Pass
314,3.36,6.5,9.1,No,82,Pass
315,2.39,1.6,7.3,No,52,Pass
316,3.8,5.6,6.6,No,94,Pass
317,3.17,2.6,8.8,No,67,Pass
318,4.0,2.9,6.8,No,100,Pass
319,4.0,8.1,8.5,No,96,Pass
320,3.61,7.2,6.6,No,85,Pass
321,2.79,5.6,4.5,No,69,Pass
322,4.0,2.9,7.9,No,100,Pass
323,3.35,6.7,4.8,No,94,Pass
324,3.18,3.6,7.9,No,79,Pass
325,4.0,4.0,10.0,No,100,Pass
326,2.65,7.8,4.3,No,67,Pass
327,3.42,3.7,5.3,No,83,Pass
328,3.64,2.4,9.3,No,84,Pass
329,3.7,5.0,6.2,No,86,Pass
330,4.0,6.6,9.3,No,95,Pass
331,3.62,6.9,5.2,No,91,Pass
332,3.16,6.5,6.8,No,78,Pass
333,4.0,1.9,4.5,No,100,Pass
334,2.44,7.4,7.5,No,63,Pass
335,3.47,6.1,3.6,No,90,Pass
336,3.71,4.3,8.3,No,96,Pass
337,3.85,4.6,5.0,No,99,Pass
338,3.22,5.4,3.0,No,77,Pass
339,3.08,4.1,10.0,No,77,Pass
340,2.95,4.7,5.5,No,74,Pass
341,4.0,5.0,7.1,No,100,Pass
342,4.0,5.2,6.8,No,96,Pass
343,2.6,10.0,6.7,No,63,Pass
344,3.95,2.1,5.1,No,100,Pass
345,3.51,6.1,4.6,No,91,Pass
346,4.0,5.5,3.4,No,98,Pass
347,4.0,4.4,9.4,No,100,Pass
348,4.0,2.4,10.0,No,91,Pass
349,3.06,2.3,4.3,No,77,Pass
350,3.01,5.7,10.0,No,82,Pass
351,1.97,8.7,6.2,Yes,54,Pass
352,4.0,6.0,5.5,No,93,Pass
353,3.13,6.4,7.5,No,73,Pass
354,3.28,7.4,6.5,No,84,Pass
355,3.01,5.6,7.5,No,79,Pass
356,3.19,9.2,9.0,No,79,Pass
357,3.22,4.6,6.7,No,68,Pass
358,2.91,4.8,7.7,No,76,Pass
359,3.74,6.8,8.6,No,87,Pass
360,4.0,6.6,10.0,No,100,Pass
361,4.0,4.6,5.9,No,100,Pass
362,4.0,3.8,5.8,No,89,Pass
363,4.0,5.5,7.5,No,98,Pass
364,3.61,4.7,7.8,No,97,Pass
365,3.48,4.4,6.5,No,89,Pass
366,4.0,3.4,10.0,No,100,Pass
367,3.41,7.1,6.6,No,84,Pass
368,3.9,6.7,10.0,No,97,Pass
369,3.93,5.4,7.7,No,94,Pass
370,4.0,6.4,8.2,No,98,Pass
371,2.99,2.8,10.0,No,80,Pass
372,3.75,7.1,10.0,No,85,Pass
373,4.0,3.3,9.5,No,94,Pass
374,4.0,5.6,4.6,No,100,Pass
375,4.0,2.4,7.7,No,95,Pass
376,2.67,7.6,6.1,No,66,Pass
377,4.0,5.6,6.6,No,100,Pass
378,3.25,3.6,7.7,No,80,Pass
379,4.0,3.8,5.9,No,94,Pass
380,4.0,1.0,6.1,No,100,Pass
381,3.01,4.0,4.3,No,67,Pass
382,3.49,1.8,9.1,No,85,Pass
383,4.0,1.9,9.2,No,97,Pass
384,3.84,4.2,4.9,No,96,Pass
385,3.16,4.1,7.2,No,82,Pass
386,3.91,5.6,8.0,No,100,Pass
387,3.26,4.7,9.3,No,80,Pass
388,4.0,7.5,3.0,No,94,Pass
389,3.66,3.6,7.1,No,90,Pass
390,3.57,4.7,8.9,No,80,Pass
391,2.52,5.5,7.2,No,66,Pass
392,4.0,7.5,3.2,No,98,Pass
393,4.0,5.5,6.3,No,100,Pass
394,4.0,3.9,8.2,No,97,Pass
395,4.0,4.8,6.3,No,99,Pass
396,2.8,5.5,9.2,No,69,Pass
397,4.0,3.4,6.5,No,98,Pass
398,4.0,4.0,8.1,No,100,Pass
399,3.08,6.1,5.1,No,77,Pass
400,4.0,4.5,6.0,No,100,Pass
401,3.58,6.5,6.1,No,90,Pass
402,3.68,3.1,4.7,No,83,Pass
403,2.55,2.4,3.0,No,56,Pass
404,4.0,1.0,4.6,No,99,Pass
405,3.95,6.6,7.3,No,93,Pass
406,4.0,3.1,6.5,No,100,Pass
407,3.37,2.9,2.8,No,79,Pass
408,4.0,3.7,8.1,No,100,Pass
409,3.76,4.4,9.8,No,92,Pass
410,3.26,2.7,4.9,No,88,Pass
411,4.0,5.2,3.4,No,100,Pass
412,3.66,1.0,8.0,No,85,Pass
413,4.0,3.8,5.5,No,99,Pass
414,4.0,7.4,3.4000000000000004,No,98,Pass
415,4.0,8.3,6.2,No,100,Pass
416,4.0,4.4,8.7,No,97,Pass
417,3.95,5.6,8.7,No,100,Pass
418,4.0,5.5,6.2,No,86,Pass
419,4.0,9.0,4.5,No,100,Pass
420,4.0,4.4,6.0,No,94,Pass
421,3.82,5.9,9.9,No,96,Pass
422,3.74,6.9,3.1,No,87,Pass
423,2.09,5.4,6.4,No,46,Fail
424,3.69,5.1,7.0,No,82,Pass
425,4.0,1.6,9.6,No,100,Pass
426,4.0,5.8,5.8,No,96,Pass
427,3.09,3.2,9.6,No,74,Pass
428,3.25,6.4,3.8,No,84,Pass
429,4.0,1.7,5.3,No,100,Pass
430,4.0,6.0,7.0,No,100,Pass
431,3.89,4.3,6.2,No,100,Pass
432,4.0,4.7,10.0,No,96,Pass
433,3.64,3.0,5.0,No,93,Pass
434,3.24,4.5,5.9,No,79,Pass
435,4.0,4.7,10.0,No,100,Pass
436,3.82,5.0,10.0,No,97,Pass
437,3.92,1.5,7.3,No,97,Pass
438,4.0,7.2,2.4,No,99,Pass
439,3.74,5.4,7.7,No,98,Pass
440,4.0,3.2,5.8,No,93,Pass
441,3.93,3.9,8.3,No,100,Pass
442,4.0,3.5,6.6,No,98,Pass
443,4.0,6.4,6.6,No,100,Pass
444,3.8,5.9,9.4,No,95,Pass
445,3.24,7.0,3.4,No,76,Pass
446,3.27,3.4,8.4,No,84,Pass
447,2.71,5.1,5.1,No,75,Pass
448,4.0,4.7,6.5,No,94,Pass
449,4.0,5.0,7.9,No,100,Pass
450,3.61,3.8,4.5,No,91,Pass
451,3.96,4.8,9.1,No,99,Pass
452,4.0,6.2,4.8,No,94,Pass
453,3.79,2.2,10.0,No,96,Pass
454,3.63,3.3,5.2,No,88,Pass
455,3.61,7.2,10.0,No,78,Pass
456,4.0,4.8,8.6,No,88,Pass
457,3.61,6.0,6.4,No,93,Pass
458,4.0,5.7,8.4,No,96,Pass
459,4.0,4.3,10.0,No,100,Pass
460,4.0,5.8,10.0,No,100,Pass
461,4.0,6.5,5.6,No,95,Pass
462,3.54,4.8,7.3,No,88,Pass
463,3.46,5.7,8.3,No,83,Pass
464,4.0,2.4,10.0,No,100,Pass
465,3.73,8.4,7.6,No,89,Pass
466,3.49,2.7,5.8,No,90,Pass
467,2.55,7.2,6.4,No,61,Pass
468,4.0,7.5,4.8,No,100,Pass
469,4.0,6.0,4.5,No,100,Pass
470,4.0,3.6,8.6,No,100,Pass
471,4.0,4.9,7.9,No,97,Pass
472,4.0,5.3,8.3,No,98,Pass
473,2.61,6.0,9.1,No,67,Pass
474,2.96,6.1,5.2,No,75,Pass
475,2.73,5.2,6.5,No,72,Pass
476,3.44,7.9,5.3,No,86,Pass
477,2.54,9.3,2.3,No,58,Pass
478,3.89,5.4,7.1,No,100,Pass
479,3.77,5.7,5.3,No,95,Pass
480,3.35,3.7,10.0,No,91,Pass
481,4.0,1.0,7.5,No,100,Pass
482,3.71,4.9,5.8,No,96,Pass
483,3.37,4.2,10.0,No,94,Pass
484,3.81,4.0,7.7,No,93,Pass
485,4.0,5.8,8.4,No,100,Pass
486,4.0,5.3,9.9,No,100,Pass
487,4.0,3.8,3.2,No,95,Pass
488,4.0,2.6,3.9,No,100,Pass
489,3.1,3.4,6.0,No,75,Pass
490,2.84,6.1,5.2,No,75,Pass
491,4.0,8.0,5.5,No,100,Pass
492,3.23,5.3,6.9,No,78,Pass
493,3.3,1.7,5.8,No,80,Pass
494,4.0,1.5,8.0,No,100,Pass
495,4.0,7.4,4.4,No,94,Pass
496,4.0,6.2,5.9,No,100,Pass
497,4.0,6.0,4.7,No,100,Pass
498,3.44,5.1,4.0,No,86,Pass
499,4.0,10.0,2.0,No,100,Pass
500,4.0,5.8,6.2,No,100,Pass
501,2.45,7.0,5.6,No,60,Pass
502,4.0,2.3,6.6,No,100,Pass
503,2.43,3.3,8.1,No,65,Pass
504,3.14,3.0,10.0,No,77,Pass
505,4.0,6.6,3.2,No,99,Pass
506,4.0,1.3,3.7,No,100,Pass
507,4.0,7.3,5.6,No,98,Pass
508,3.62,4.4,6.1,No,90,Pass
509,4.0,2.0,8.4,No,98,Pass
510,3.05,5.2,9.5,No,79,Pass
511,4.0,6.3,5.3,No,100,Pass
512,3.96,4.1,9.0,No,100,Pass
513,2.95,4.8,7.0,No,65,Pass
514,3.84,5.6,3.4,No,94,Pass
515,3.7,4.8,9.9,No,87,Pass
516,3.3,3.7,5.8,No,88,Pass
517,3.94,7.6,4.0,No,93,Pass
518,4.0,8.5,5.3,No,100,Pass
519,4.0,1.5,6.7,No,100,Pass
520,3.82,5.5,8.4,No,100,Pass
521,3.37,3.6,5.7,No,82,Pass
522,4.0,5.4,8.0,No,100,Pass
523,3.46,6.5,1.4,No,84,Pass
524,3.5,3.8,3.1,No,95,Pass
525,4.0,4.3,7.9,No,92,Pass
526,2.86,4.1,8.6,No,76,Pass
527,4.0,4.7,8.4,No,100,Pass
528,3.47,4.7,5.7,No,79,Pass
529,3.13,4.8,8.1,No,85,Pass
530,4.0,1.0,7.7,No,99,Pass
531,4.0,4.0,5.7,No,100,Pass
532,4.0,2.2,7.5,No,100,Pass
533,4.0,1.1,9.0,No,100,Pass
534,4.0,2.3,6.8,No,96,Pass
535,3.23,8.3,5.7,Yes,87,Pass
536,3.54,5.3,10.0,No,95,Pass
537,4.0,2.9,7.2,No,93,Pass
538,4.0,3.2,7.4,No,100,Pass
539,4.0,2.8,8.0,No,100,Pass
540,3.61,7.9,9.2,No,84,Pass
541,4.0,1.0,8.1,No,97,Pass
542,3.19,9.5,4.8,No,76,Pass
543,4.0,1.9,7.3,No,100,Pass
544,3.24,6.7,6.7,No,74,Pass
545,3.36,8.9,6.9,No,85,Pass
546,3.67,4.4,5.5,No,98,Pass
547,3.49,7.4,6.3,No,85,Pass
548,4.0,4.7,8.1,No,96,Pass
549,4.0,6.6,2.9,No,97,Pass
550,3.02,2.4,6.4,No,75,Pass
551,4.0,5.8,6.9,No,98,Pass
552,2.85,4.1,1.3,No,70,Pass
553,3.84,5.8,7.4,No,86,Pass
554,3.37,5.2,10.0,No,85,Pass
555,3.42,3.1,6.6,No,85,Pass
556,4.0,3.5,5.0,No,100,Pass
557,4.0,5.8,7.5,No,100,Pass
558,3.77,4.0,8.1,No,87,Pass
559,2.96,6.0,7.5,No,76,Pass
560,2.64,6.7,5.3,No,69,Pass
561,4.0,3.2,7.8,No,100,Pass
562,4.0,4.5,9.5,No,100,Pass
563,4.0,5.5,1.5,No,100,Pass
564,3.71,6.2,8.9,No,86,Pass
565,4.0,2.0,7.2,No,99,Pass
566,3.9,7.7,6.1,No,100,Pass
567,4.0,7.2,4.1,No,96,Pass
568,4.0,9.5,5.5,No,100,Pass
569,4.0,4.8,6.8,No,100,Pass
570,2.84,7.0,6.9,No,64,Pass
571,4.0,3.4,6.8,No,100,Pass
572,4.0,1.6,3.3,No,99,Pass
573,3.89,6.5,5.7,No,100,Pass
574,4.0,4.6,4.3,No,100,Pass
575,4.0,4.4,6.7,No,100,Pass
576,2.5,8.5,8.0,No,69,Pass
577,4.0,2.6,7.0,No,95,Pass
578,4.0,8.4,5.8,No,100,Pass
579,3.2,1.0,8.0,No,74,Pass
580,3.9,1.0,7.3,No,94,Pass
581,3.94,4.7,8.0,No,94,Pass
582,3.62,4.6,7.4,No,98,Pass
583,3.96,8.6,5.9,Yes,98,Pass
584,2.77,5.4,6.4,No,71,Pass
585,3.32,4.1,5.5,No,83,Pass
586,2.57,5.6,7.9,No,65,Pass
587,3.54,4.4,10.0,No,90,Pass
588,4.0,4.4,5.6,No,100,Pass
589,4.0,1.0,4.1,No,100,Pass
590,4.0,6.9,5.6,No,100,Pass
591,3.88,6.8,4.9,No,98,Pass
592,3.58,4.4,3.2,No,96,Pass
593,4.0,6.7,9.7,No,90,Pass
594,4.0,6.3,4.8,No,100,Pass
595,3.08,3.9,8.8,No,73,Pass
596,3.54,5.2,7.0,No,91,Pass
597,3.57,6.7,4.7,No,87,Pass
598,3.53,3.4,7.3,No,95,Pass
599,4.0,4.3,5.9,No,100,Pass
600,3.13,5.0,7.3,No,73,Pass
601,3.36,7.8,6.6,No,91,Pass
602,4.0,2.8,5.8,No,95,Pass
603,4.0,5.9,8.9,No,100,Pass
604,4.0,5.2,8.8,No,100,Pass
605,3.65,4.5,5.0,No,91,Pass
606,2.59,8.1,8.1,No,58,Pass
607,4.0,4.7,10.0,No,100,Pass
608,2.89,5.6,7.5,No,68,Pass
609,4.0,8.7,4.5,No,100,Pass
610,3.71,6.3,4.1,No,95,Pass
611,3.78,5.3,8.2,No,93,Pass
612,4.0,6.5,8.0,No,100,Pass
613,2.91,2.3,8.0,No,76,Pass
614,3.52,3.1,5.1,No,86,Pass
615,3.88,2.9,8.4,No,100,Pass
616,2.82,6.7,8.1,No,63,Pass
617,3.45,8.0,8.5,No,82,Pass
618,3.12,6.4,7.3,No,74,Pass
619,3.51,2.3,9.0,No,84,Pass
620,4.0,5.8,5.2,No,100,Pass
621,3.24,5.7,9.9,No,88,Pass
622,4.0,5.7,10.0,No,97,Pass
623,4.0,4.2,6.7,No,96,Pass
624,3.93,4.3,7.1,No,93,Pass
625,3.59,3.2,7.5,No,87,Pass
626,4.0,7.6,7.199999999999999,No,100,Pass
627,3.6,3.9,3.9,No,99,Pass
628,2.45,7.5,2.7,No,54,Pass
